de_nuts1,de_nuts1_full_name
DE1,Baden-Württemberg
DE2,Bayern
DE3,Berlin
DE4,Brandenburg
DE5,Bremen
DE6,Hamburg
DE7,Hessen
DE8,Mecklenburg-Vorpommern
DE9,Niedersachsen
DEA,Nordrhein-Westfalen
DEB,Rheinland-Pfalz
DEC,Saarland
DED,Sachsen
DEE,Sachsen-Anhalt
DEF,Schleswig-Holstein
DEG,Thüringen
DEH,Offshore
