model_names,model_names_full
europower,Europower
perseus,Perseus/Tango
mars,MarS/ZKNOT
powerflex,Powerflex-Grid-EU
ego,eGo/eTraGo
miles,MILES
isaar,ISAaR
elmod,ELMOD
